abandon ทอดทิ้ง
adopt รับเลี้ยง
aglow อิ่มเอิบ
answer คำตอบ
random สุ่ม
broaden ขยับขยาย
caffeine คาเฟอีน
cacophony เสียงกระด้าง
carefree ไร้กังวล
carer ผู้ที่ดูแลคนป่วยหรือคนแก่ที่บ้าน
critic นักวิจารณ์
devastate ทำลายล้าง
dozen หนึ่งโหล
dock เทียบท่าเรือ
dump คลังเก็บอาวุธ
embrace การสวมกอดอย่างรักใคร่
endorsee ผู้รับตั๋วเงิน
evaluate ประเมินค่า
excess การรับผิดส่วนแรก
exist มีจริง
experimental การออกแบบการทดลอง
experiment การทดลอง
expertise ความรู้ความชำนาญ
facilitate อำนวยความสะดวก
faculty คณะ
feat ความดีความชอบ
feed ให้อาหาร
fiddle การสีซอ
finely อย่างละเอียด
fleece ขนแกะสังเคราะห์
flop ล้มตัวลง
formal เป็นกิจจะลักษณะ
fund กองทุน
fundamental รากฐาน
gently อย่างสุภาพ
gesture การแสดงท่าทาง
ghost ผี
handful หนึ่งกำมือ
helmet หมวกกันน็อก
heroine วีรสตรี
hibernate จำศีล
homonym คำพ้องรูปพ้องเสียง
host เจ้าบ้าน
influential ผู้ทรงอิทธิพล
initiative ริเริ่ม
innovation นวัตกรรม
insist ยืนกราน
inspiration แรงบันดาลใจ
instalment เงินผ่อน
key กุญแจ
linguist นักภาษาศาสตร์
literacy ความสามารถในการอ่านและเขียน
luxury ความฟุ่มเฟือย
organ อวัยวะ
philanthropist ผู้ใจบุญ
prone นอนคว่ำ
prosper เจริญรุ่งเรือง
pyramid พีระมิด
scandal เรื่องอื้อฉาว
sip จิบ
skewer ไม้เสียบ
tranquil สงบสุข
witch แม่มด
