airport สนามบิน
traffic การจราจร
shampoo แชมพู
towel ผ้าขนหนู
soap สบู่
shower ฝักบัว
sand ทราย
wave คลื่น
crab ปู(สัตว์)
shell เปลือกหอย
tire ยางรถ
chain โซ่
helmet หมวกกันน็อค
gear เฟือง
forehead หน้าผาก
wrist ข้อมือ
face ใบหน้า
knee หัวเข่า
thumb นิ้วหัวแม่มือ
elbow ข้อศอก
toe นิ้วเท้า
tongue ลิ้น
ankle ข้อเท้า
wheel กงล้อ, ล้อ
reindeer กวางเรนเดียร์
snowman ตุ๊กตาหิมะ
bottle ขวด
jar ไห,โถ
can กระป๋อง
tin ดีบุก
kit ชุดอุปกรณ์
trophy ถ้วยรางวัล
watermelon แตงโม
papaya มะละกอ
garage โรงรถ
grass หญ้า
fence รั้วกั้น
flower ดอกไม้
dentist ทันตแพทย์
nurse พยาบาล
oven เตาอบ
beef เนื้อวัว
screw สกรู
hammer ค้อน
saw เลื่อย
tomato มะเขือเทศ
potato มันฝรั่ง
lettuce ผักกาด
pepper พริก,พริกไทย
garlic กระเทียม
pumpkin ฟักทอง
fox จิ้งจอก
tiger เสือ
lion สิงโต
