baggage สัมภาระ
toddler เด็กวัยหัดเดิน
moustache หนวด
goatee เคราแพะ
toothpaste ยาสีฟัน
surfboard กระดานโต้คลื่น
sunglasses แว่นกันแดด
toothbrush แปลงสีฟัน
crosswalk ทางม้าลาย
petrol เบนซิน
saddle อาน
fingernail เล็บมือ
wiper ที่ปัดน้ำฝน
stocking ถุงเท้ายาว
crackers ประทัด
sleigh รถเลื่อน
whistle นกหวีด
referee ผู้ตัดสิน
goalkeeper ผู้รักษาประตู
lychee ลิ้นจี่
fig มะเดื่อ
pomegranate ทับทิม
guava ลูกฝรั่ง
greenhouse เรือนกระจก
lawn สนามหญ้า
hospital โรงพยาบาล
injection การฉีดยา
bandage ผ้าพันแผล
chemist นักเคมี
ambulance รถพยาบาล
dishwasher เครื่องล้างจาน
sponge ฟองน้ำ
freezer ตู้แช่
toaster เครื่องปิ้งขนมปัง
sausage ไส้กรอก
cockroach แมลงสาบ
millipede กิ้งกือ
expressway ทางด่วน
pliers คีม
screwdriver ไขควง
cauliflower กะหล่ำ
cabbage กะหล่ำปลี
cucumber แตงกวา
sweetcorn ข้าวโพดหวาน
leek กระเทียมหอม
courgettes บ๊วย
spinach ผักโขม
ginger ขิง
radish หัวไชเท้า
squirrel กระรอก
anteater ตัวกินมด
