accelerate เร่งความเร็ว
acre เอเคอร์
alcoholic ผู้ที่ติดสุรา
ambiguity ข้อความกำกวม
anonymous ไม่ระบุตัวตน
antibiotic ยาปฏิชีวนะ
applaud ปรบมือ
arm แขน
astronomy ดาราศาสตร์
boulevard ถนนกว้างใหญ่ในเมืองมักมีต้นไม้อยู่ข้างทาง
band วงดนตรี
blister แผลพุพอง
blood เลือด
bribery การติดสินบน
bureaucracy อำมาตยาธิปไตย
casserole หม้อตุ๋น
challenge ความท้าทาย
dazzle แสงพร่านัยน์ตา
deposit เงินฝาก
downhill ลงเขา
harmless ไม่เป็นอันตราย
abjure บอกเลิกอย่างเป็นทางการ
alacrity ความกระตือรือร้น
ascetic ผู้ถือสันโดษ
callous ใจดำ
circumlocution การพูดอ้อมค้อม
construe ตีความหรือกำหนดความหมาย
didactic อบรมสั่งสอนอย่างมีคุณธรรม
equanimity อุเบกขา
iconoclast ผู้ทำลายรูปบูชา
libertarian ผู้สนับสนุนหรือยึดถึงหลักแห่งเสรีภาพ
sanctimonious มือถือสากปากถือศีล
solipsism วิถีเอกัตนิยม
accost ทักทายด้วยท่าทีที่ไม่สุภาพ
debacle ความหายนะกะทันหัน
fetter กุญแจมือสำหรับข้อเท้า
hegemony ความมีอำนาจ
parish เขตทางศาสนา
insomnia อาการนอนไม่หลับ
legislation การบัญญัติกฎหมาย
loom กี่ทอผ้า
cobbler ช่างปะรองเท้า
construe การตีความประโยคหรือข้อความ
dirge เพลงไว้อาลัย
nadir จุดตกต่ำที่สุด
panacea ยาครอบจักรวาล
semaphore อุปกรณ์สัญญาณ
tome หนังสือเล่มหนาและใหญ่
toady ผู้ประจบสอพลอ
equivocal สองแง่สองง่าม
